"game_decision","points","field_goals","field_goal_attempts","field_goal_percentage","X3pointers","X3pointer_attempts","X3pointer_percentage","free_throws","free_throw_attempts","free_throw_percentage","offensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","Home","Away","Neutral"
0,62,27,60,0.45,6,20,0.3,2,2,1,7,25,15,3,3,18,16,1,0,0
0,68,25,67,0.373,6,23,0.261,12,25,0.48,21,38,6,10,3,19,16,1,0,0
0,74,27,62,0.435,5,21,0.238,15,25,0.6,10,40,13,4,3,13,20,0,1,0
1,78,27,62,0.435,5,24,0.208,19,24,0.792,8,36,19,10,4,7,17,1,0,0
1,79,28,51,0.549,14,29,0.483,9,9,1,7,31,25,6,2,12,12,1,0,0
1,66,20,45,0.444,8,20,0.4,18,21,0.857,8,26,11,9,1,13,19,0,1,0
1,67,24,49,0.49,8,24,0.333,11,15,0.733,6,27,10,9,4,9,16,1,0,0
1,74,27,55,0.491,10,20,0.5,10,17,0.588,10,28,19,7,3,9,15,0,1,0
0,70,21,65,0.323,6,28,0.214,22,34,0.647,15,43,6,6,0,14,30,0,0,1
0,47,18,57,0.316,4,14,0.286,7,9,0.778,13,30,11,4,4,8,19,0,1,0
1,56,19,40,0.475,6,16,0.375,12,18,0.667,9,37,12,2,2,23,19,0,1,0
1,61,24,52,0.462,7,16,0.438,6,9,0.667,7,33,11,3,4,16,11,0,1,0
1,80,29,60,0.483,10,18,0.556,12,17,0.706,7,34,15,6,7,9,16,1,0,0
0,60,24,63,0.381,8,20,0.4,4,5,0.8,7,29,16,8,0,9,19,0,1,0
1,76,22,66,0.333,4,23,0.174,28,37,0.757,13,42,14,14,4,16,17,1,0,0
0,64,19,51,0.373,6,15,0.4,20,33,0.606,11,32,12,9,0,20,25,0,1,0
1,65,24,56,0.429,1,10,0.1,16,21,0.762,9,27,15,12,4,13,11,1,0,0
1,70,24,44,0.545,9,20,0.45,13,20,0.65,4,28,17,3,6,18,21,0,1,0
1,74,24,55,0.436,5,18,0.278,21,28,0.75,18,33,12,5,0,12,13,1,0,0
1,74,29,61,0.475,6,13,0.462,10,18,0.556,11,37,10,3,5,11,20,0,1,0
0,65,22,72,0.306,6,23,0.261,15,28,0.536,18,43,10,5,2,10,17,0,1,0
1,75,28,57,0.491,7,17,0.412,12,23,0.522,9,41,18,6,4,19,16,1,0,0
1,84,32,60,0.533,11,23,0.478,9,18,0.5,11,33,22,4,5,11,19,1,0,0
0,70,26,59,0.441,9,26,0.346,9,24,0.375,12,35,11,6,3,13,22,0,0,1
1,66,24,54,0.444,4,9,0.444,14,19,0.737,11,37,9,5,7,13,17,1,0,0
0,71,29,50,0.58,6,11,0.545,7,10,0.7,8,30,12,6,8,20,15,0,1,0
1,72,27,66,0.409,3,12,0.25,15,21,0.714,15,44,15,6,3,11,17,1,0,0
0,75,29,66,0.439,12,26,0.462,5,10,0.5,11,25,17,5,3,8,21,0,0,1
1,61,22,54,0.407,1,12,0.083,16,20,0.8,11,38,11,2,8,7,17,1,0,0
1,79,30,60,0.5,10,25,0.4,9,12,0.75,12,25,22,9,7,10,14,1,0,0
1,96,38,70,0.543,12,24,0.5,8,12,0.667,15,42,30,5,7,8,11,1,0,0
1,79,29,56,0.518,9,21,0.429,12,23,0.522,9,24,21,8,4,8,13,0,1,0
1,87,26,68,0.382,8,27,0.296,27,36,0.75,14,44,18,7,8,8,21,1,0,0
0,62,25,63,0.397,5,20,0.25,7,8,0.875,11,30,14,8,5,16,22,0,1,0
1,80,31,64,0.484,10,27,0.37,8,14,0.571,13,40,20,9,6,15,14,0,1,0
1,77,27,44,0.614,7,12,0.583,16,22,0.727,7,29,12,5,5,13,18,0,1,0
1,81,27,52,0.519,8,18,0.444,19,22,0.864,7,27,19,9,4,17,16,0,0,1
0,63,26,55,0.473,4,10,0.4,7,10,0.7,8,23,12,5,2,8,13,0,0,1
