"game_decision","points","field_goals","field_goal_attempts","field_goal_percentage","X3pointers","X3pointer_attempts","X3pointer_percentage","free_throws","free_throw_attempts","free_throw_percentage","offensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","Home","Away","Neutral"
1,62,22,52,0.423,8,23,0.348,10,16,0.625,5,36,10,2,1,10,17,0,1,0
1,75,26,60,0.433,9,26,0.346,14,20,0.7,9,28,19,9,2,11,14,0,0,1
1,70,23,50,0.46,11,26,0.423,13,18,0.722,8,30,13,10,2,16,14,1,0,0
0,58,21,60,0.35,5,27,0.185,11,16,0.688,15,35,10,8,2,13,23,0,1,0
1,78,26,57,0.456,9,25,0.36,17,22,0.773,6,28,16,7,2,6,17,1,0,0
1,69,21,53,0.396,6,28,0.214,21,29,0.724,6,33,12,3,2,13,22,1,0,0
1,74,22,51,0.431,9,25,0.36,21,22,0.955,3,31,8,8,8,13,17,0,0,1
1,83,29,52,0.558,5,8,0.625,20,33,0.606,9,42,15,5,2,19,17,0,1,0
0,54,20,61,0.328,3,12,0.25,11,12,0.917,8,30,8,4,3,12,20,0,1,0
0,66,23,50,0.46,6,13,0.462,14,20,0.7,8,26,11,7,2,22,24,0,1,0
0,74,30,64,0.469,7,15,0.467,7,9,0.778,7,29,11,6,2,14,21,0,1,0
0,64,19,47,0.404,0,3,0,26,34,0.765,8,31,5,2,4,21,21,1,0,0
0,63,22,56,0.393,9,22,0.409,10,14,0.714,8,28,11,4,1,12,19,1,0,0
0,63,22,48,0.458,4,13,0.308,15,19,0.789,5,26,11,5,3,16,11,0,1,0
0,80,36,77,0.468,2,12,0.167,6,11,0.545,6,31,14,7,8,9,19,1,0,0
1,82,27,52,0.519,11,17,0.647,17,23,0.739,7,30,19,3,6,14,19,1,0,0
1,72,26,47,0.553,4,13,0.308,16,19,0.842,5,31,10,3,2,13,10,0,1,0
0,75,29,60,0.483,9,17,0.529,8,14,0.571,6,25,18,9,4,16,25,1,0,0
0,56,21,47,0.447,6,16,0.375,8,18,0.444,3,28,17,7,5,15,19,0,1,0
0,63,24,53,0.453,8,23,0.348,7,11,0.636,7,24,15,7,5,17,23,1,0,0
0,76,23,66,0.348,11,30,0.367,19,25,0.76,13,32,13,2,8,9,28,1,0,0
0,61,25,61,0.41,4,21,0.19,7,10,0.7,12,33,15,2,3,17,18,1,0,0
0,63,26,65,0.4,5,17,0.294,6,9,0.667,9,30,17,9,2,16,18,0,1,0
0,66,23,50,0.46,3,16,0.188,17,28,0.607,8,29,12,6,4,19,18,1,0,0
1,89,33,68,0.485,13,30,0.433,10,14,0.714,12,33,21,9,5,4,19,0,1,0
0,82,27,68,0.397,9,23,0.391,19,24,0.792,13,31,9,3,5,7,24,1,0,0
1,58,22,56,0.393,6,19,0.316,8,13,0.615,8,25,14,10,0,7,17,0,1,0
1,102,38,68,0.559,15,27,0.556,11,13,0.846,13,40,24,12,7,16,13,1,0,0
0,47,16,44,0.364,3,18,0.167,12,13,0.923,7,21,6,3,1,14,23,0,1,0
1,89,24,47,0.511,10,22,0.455,31,41,0.756,7,28,11,9,3,9,25,1,0,0
0,57,23,61,0.377,8,20,0.4,3,7,0.429,11,28,10,6,0,11,23,0,1,0
0,60,22,49,0.449,7,21,0.333,9,13,0.692,5,27,10,6,1,21,22,0,1,0
1,73,24,53,0.453,9,20,0.45,16,20,0.8,6,26,11,7,4,10,19,0,1,0
0,69,23,54,0.426,5,15,0.333,18,21,0.857,7,24,11,10,6,12,27,1,0,0
0,60,18,55,0.327,4,22,0.182,20,29,0.69,12,31,9,8,2,17,27,0,1,0
0,72,26,59,0.441,8,23,0.348,12,21,0.571,8,31,14,6,0,11,26,0,1,0
1,69,23,64,0.359,5,19,0.263,18,23,0.783,16,33,9,12,3,9,19,1,0,0
1,80,26,54,0.481,9,21,0.429,19,23,0.826,10,36,13,6,1,17,23,0,1,0
1,71,27,55,0.491,6,23,0.261,11,16,0.688,6,27,14,6,2,11,23,0,1,0
0,72,25,55,0.455,8,20,0.4,14,19,0.737,11,31,14,6,2,24,25,1,0,0
1,88,31,59,0.525,10,22,0.455,16,21,0.762,4,27,18,6,2,12,25,0,1,0
1,91,35,64,0.547,6,22,0.273,15,20,0.75,8,31,17,8,1,11,13,0,1,0
0,70,30,56,0.536,5,14,0.357,5,10,0.5,5,22,14,8,5,16,15,1,0,0
0,74,22,47,0.468,7,18,0.389,23,25,0.92,8,20,15,7,4,16,26,1,0,0
0,86,27,60,0.45,11,24,0.458,21,28,0.75,10,37,11,5,6,19,27,1,0,0
0,70,24,61,0.393,9,29,0.31,13,16,0.813,6,29,13,7,3,10,23,0,1,0
1,70,22,52,0.423,10,23,0.435,16,20,0.8,5,19,14,7,2,8,17,0,1,0
1,87,28,48,0.583,13,19,0.684,18,22,0.818,5,20,15,8,1,14,21,1,0,0
1,79,27,58,0.466,5,18,0.278,20,23,0.87,10,39,10,3,1,10,15,0,1,0
0,81,24,60,0.4,9,19,0.474,24,31,0.774,12,34,9,6,2,17,29,0,1,0
0,74,25,50,0.5,5,10,0.5,19,24,0.792,7,28,9,7,0,16,22,1,0,0
0,70,25,62,0.403,4,19,0.211,16,21,0.762,15,31,7,5,1,9,17,0,1,0
0,68,24,56,0.429,10,24,0.417,10,16,0.625,6,22,15,6,3,15,20,0,1,0
0,57,20,47,0.426,5,10,0.5,12,18,0.667,4,25,11,8,3,29,21,0,1,0
0,76,28,56,0.5,6,20,0.3,14,15,0.933,8,24,8,10,1,15,18,1,0,0
0,53,15,56,0.268,5,24,0.208,18,26,0.692,10,28,5,9,3,11,13,0,1,0
0,65,24,58,0.414,9,27,0.333,8,9,0.889,7,27,13,7,2,14,27,0,1,0
1,89,28,61,0.459,7,22,0.318,26,34,0.765,13,38,16,5,3,10,17,0,1,0
1,76,27,53,0.509,7,17,0.412,15,20,0.75,5,32,16,3,6,12,14,1,0,0
0,82,26,59,0.441,9,19,0.474,21,23,0.913,6,25,13,5,2,8,22,1,0,0
0,55,21,47,0.447,5,18,0.278,8,18,0.444,7,32,7,6,7,13,21,1,0,0
1,63,16,47,0.34,7,21,0.333,24,34,0.706,14,34,9,11,3,16,15,1,0,0
0,55,22,65,0.338,6,22,0.273,5,12,0.417,4,26,12,7,2,10,14,0,1,0
0,71,26,52,0.5,9,21,0.429,10,16,0.625,6,27,10,5,5,16,17,0,1,0
0,85,25,63,0.397,8,24,0.333,27,48,0.563,14,42,10,3,5,19,29,0,0,1
0,59,21,56,0.375,5,19,0.263,12,15,0.8,10,29,7,5,1,22,29,0,1,0
0,61,24,64,0.375,5,16,0.313,8,11,0.727,12,35,7,6,3,12,19,0,0,1
0,59,22,54,0.407,2,11,0.182,13,15,0.867,8,25,5,6,2,18,26,0,1,0
0,63,25,63,0.397,5,12,0.417,8,22,0.364,10,26,8,7,4,13,15,1,0,0
0,61,24,64,0.375,4,9,0.444,9,11,0.818,15,35,9,3,6,5,12,1,0,0
1,62,24,58,0.414,9,23,0.391,5,10,0.5,12,38,14,7,5,15,23,0,1,0
0,57,24,66,0.364,3,16,0.188,6,15,0.4,11,32,10,9,4,14,21,0,1,0
1,87,33,63,0.524,7,26,0.269,14,21,0.667,6,29,17,12,3,14,20,1,0,0
1,109,44,79,0.557,6,13,0.462,15,26,0.577,18,47,22,12,3,8,15,1,0,0
0,65,25,73,0.342,8,21,0.381,7,12,0.583,16,45,12,8,4,15,29,0,1,0
1,93,36,83,0.434,7,22,0.318,14,21,0.667,15,36,13,3,3,11,32,1,0,0
0,50,14,64,0.219,4,18,0.222,18,27,0.667,11,32,6,6,7,14,21,0,1,0
0,62,18,50,0.36,5,17,0.294,21,37,0.568,11,29,9,7,3,15,28,1,0,0
0,59,23,69,0.333,6,22,0.273,7,12,0.583,12,32,14,8,1,10,15,1,0,0
1,78,29,62,0.468,8,23,0.348,12,17,0.706,10,30,16,9,5,13,25,0,1,0
1,65,22,52,0.423,9,23,0.391,12,23,0.522,8,32,8,7,4,12,26,0,0,1
0,65,25,60,0.417,9,23,0.391,6,7,0.857,8,25,14,6,1,14,16,0,1,0
0,49,18,51,0.353,2,10,0.2,11,17,0.647,8,29,4,2,1,13,15,0,1,0
0,45,18,49,0.367,5,11,0.455,4,7,0.571,3,19,5,7,2,9,14,0,1,0
0,56,14,44,0.318,4,15,0.267,24,31,0.774,5,24,9,7,2,16,14,1,0,0
0,75,27,61,0.443,6,21,0.286,15,24,0.625,15,45,10,3,3,22,19,0,1,0
0,43,16,53,0.302,3,14,0.214,8,17,0.471,4,17,8,4,2,11,15,0,1,0
1,64,22,43,0.512,3,10,0.3,17,29,0.586,4,23,4,8,3,13,13,1,0,0
1,103,42,82,0.512,6,24,0.25,13,27,0.481,20,53,20,9,4,12,16,1,0,0
0,62,24,58,0.414,2,14,0.143,12,22,0.545,7,26,12,5,4,16,22,0,0,1
0,67,21,46,0.457,7,14,0.5,18,28,0.643,6,21,13,8,0,17,18,1,0,0
0,70,25,66,0.379,7,24,0.292,13,23,0.565,14,36,14,5,1,14,16,0,1,0
0,45,16,52,0.308,3,21,0.143,10,18,0.556,8,30,7,4,4,12,9,0,1,0
0,65,16,56,0.286,6,26,0.231,27,33,0.818,6,34,9,8,3,18,20,0,1,0
0,56,18,55,0.327,5,22,0.227,15,27,0.556,11,35,12,4,2,14,22,0,1,0
0,68,20,48,0.417,9,18,0.5,19,31,0.613,5,23,12,8,0,21,33,0,1,0
1,94,36,67,0.537,8,23,0.348,14,20,0.7,6,35,18,10,4,15,19,1,0,0
0,62,24,68,0.353,5,21,0.238,9,15,0.6,9,25,9,9,3,7,29,0,1,0
0,72,25,57,0.439,5,17,0.294,17,25,0.68,12,35,7,5,4,19,21,0,0,1
0,77,28,64,0.438,7,24,0.292,14,21,0.667,11,27,14,7,2,9,15,1,0,0
0,59,21,64,0.328,3,18,0.167,14,21,0.667,15,37,11,4,3,9,15,0,1,0
0,51,19,49,0.388,4,13,0.308,9,14,0.643,5,28,8,8,5,22,19,0,1,0
0,59,24,59,0.407,5,16,0.313,6,6,1,5,24,12,6,2,15,18,0,1,0
1,77,28,60,0.467,8,21,0.381,13,25,0.52,9,32,11,9,5,15,14,1,0,0
0,66,26,63,0.413,5,16,0.313,9,11,0.818,7,30,15,3,2,8,20,0,1,0
0,59,22,57,0.386,5,17,0.294,10,11,0.909,13,31,6,2,5,13,17,0,1,0
0,71,22,62,0.355,8,23,0.348,19,21,0.905,5,20,10,4,1,3,22,0,1,0
0,80,29,64,0.453,5,15,0.333,17,22,0.773,8,30,14,3,5,12,20,0,1,0
1,85,24,59,0.407,4,12,0.333,33,46,0.717,15,40,9,6,4,11,26,0,0,1
0,75,28,66,0.424,11,29,0.379,8,13,0.615,8,20,10,4,4,5,22,0,1,0
1,60,23,42,0.548,6,17,0.353,8,12,0.667,8,27,15,5,6,20,23,0,1,0
0,53,22,61,0.361,6,26,0.231,3,8,0.375,7,25,13,6,3,10,15,1,0,0
1,74,31,65,0.477,5,19,0.263,7,11,0.636,11,34,15,7,3,9,16,0,1,0
0,56,22,61,0.361,4,18,0.222,8,14,0.571,14,38,9,5,5,15,25,0,1,0
1,62,23,54,0.426,8,19,0.421,8,11,0.727,8,32,16,5,8,14,20,0,1,0
0,54,21,65,0.323,4,17,0.235,8,19,0.421,9,30,8,10,4,10,24,0,1,0
0,60,23,66,0.348,8,31,0.258,6,8,0.75,7,27,12,11,4,9,14,1,0,0
0,38,15,46,0.326,2,14,0.143,6,8,0.75,8,27,9,5,4,18,19,0,1,0
0,56,17,61,0.279,9,29,0.31,13,21,0.619,12,34,11,5,4,17,20,0,1,0
0,59,19,52,0.365,2,10,0.2,19,25,0.76,15,47,4,4,2,17,20,0,1,0
0,66,25,60,0.417,9,19,0.474,7,11,0.636,10,34,8,5,3,14,19,1,0,0
1,83,27,57,0.474,10,17,0.588,19,22,0.864,7,45,12,7,6,17,15,1,0,0
1,80,31,59,0.525,13,24,0.542,5,7,0.714,8,26,22,3,6,4,12,1,0,0
0,65,27,71,0.38,5,22,0.227,6,10,0.6,16,40,16,7,5,22,15,0,1,0
1,84,26,44,0.591,9,17,0.529,23,28,0.821,4,29,16,4,6,18,21,1,0,0
0,64,23,62,0.371,4,15,0.267,14,24,0.583,16,37,10,5,5,14,18,0,1,0
0,79,28,58,0.483,4,11,0.364,19,25,0.76,10,27,8,0,2,8,25,0,1,0
0,61,19,63,0.302,10,36,0.278,13,22,0.591,14,41,11,4,4,10,26,0,0,1
0,74,30,63,0.476,6,21,0.286,8,18,0.444,11,27,16,4,3,14,27,0,0,1
1,81,29,55,0.527,7,18,0.389,16,31,0.516,18,57,17,3,7,17,20,1,0,0
0,53,21,56,0.375,6,23,0.261,5,13,0.385,8,34,10,7,5,13,19,0,1,0
0,49,21,57,0.368,4,17,0.235,3,6,0.5,4,23,7,3,4,12,19,0,1,0
0,56,21,54,0.389,5,14,0.357,9,13,0.692,8,24,7,5,3,13,21,0,1,0
1,68,24,51,0.471,10,24,0.417,10,15,0.667,6,31,13,6,1,17,19,0,1,0
0,57,22,58,0.379,5,22,0.227,8,15,0.533,11,27,9,3,1,11,19,0,1,0
0,58,19,44,0.432,7,16,0.438,13,15,0.867,0,19,7,3,6,16,19,0,1,0
0,72,29,60,0.483,9,27,0.333,5,11,0.455,8,23,15,6,2,6,18,1,0,0
0,55,20,59,0.339,5,20,0.25,10,14,0.714,4,25,9,5,3,10,25,0,1,0
0,72,19,51,0.373,5,21,0.238,29,37,0.784,9,30,8,6,5,12,19,1,0,0
0,58,23,51,0.451,6,19,0.316,6,8,0.75,4,25,10,8,6,17,24,0,0,1
0,65,24,66,0.364,7,28,0.25,10,14,0.714,7,32,10,6,2,9,20,0,0,1
0,61,21,57,0.368,5,18,0.278,14,23,0.609,6,28,13,4,3,8,18,0,1,0
0,59,23,53,0.434,5,14,0.357,8,14,0.571,5,31,14,2,1,15,17,0,0,1
0,56,21,56,0.375,11,26,0.423,3,6,0.5,5,28,15,4,2,18,22,0,1,0
1,82,28,56,0.5,8,17,0.471,18,24,0.75,6,27,17,8,6,13,19,1,0,0
1,82,26,53,0.491,8,17,0.471,22,26,0.846,15,43,10,7,6,17,20,0,0,1
0,63,25,63,0.397,7,21,0.333,6,10,0.6,13,35,11,4,7,11,16,0,1,0
0,81,27,47,0.574,9,22,0.409,18,24,0.75,9,28,17,2,0,14,19,0,1,0
0,56,19,57,0.333,3,17,0.176,15,18,0.833,6,24,7,4,3,9,19,0,1,0
0,62,25,57,0.439,8,21,0.381,4,6,0.667,5,21,15,4,3,15,12,1,0,0
0,72,26,74,0.351,3,17,0.176,17,24,0.708,14,44,10,7,5,13,20,1,0,0
0,63,24,56,0.429,7,16,0.438,8,20,0.4,9,34,9,2,1,11,21,0,1,0
1,77,30,68,0.441,4,18,0.222,13,16,0.813,7,35,6,9,3,11,18,0,1,0
1,94,30,49,0.612,15,22,0.682,19,26,0.731,5,28,19,1,5,4,20,0,1,0
0,55,24,55,0.436,3,19,0.158,4,9,0.444,6,28,16,9,0,11,16,1,0,0
0,59,21,59,0.356,3,12,0.25,14,21,0.667,14,35,8,6,5,11,18,0,1,0
1,77,29,61,0.475,7,13,0.538,12,17,0.706,9,34,8,3,6,11,21,0,0,1
0,60,21,59,0.356,5,16,0.313,13,16,0.813,11,29,7,9,5,12,12,0,0,1
1,106,44,78,0.564,11,27,0.407,7,12,0.583,15,51,22,8,5,10,13,1,0,0
0,54,21,58,0.362,7,21,0.333,5,9,0.556,9,30,9,2,3,19,15,0,1,0
1,73,25,66,0.379,6,15,0.4,17,22,0.773,12,45,9,8,4,13,13,0,1,0
1,77,28,57,0.491,6,19,0.316,15,22,0.682,15,31,18,12,1,15,11,1,0,0
1,65,22,60,0.367,6,19,0.316,15,26,0.577,12,42,11,3,3,11,19,1,0,0
0,68,25,56,0.446,8,19,0.421,10,13,0.769,8,29,18,3,1,10,21,0,1,0
1,78,29,56,0.518,8,21,0.381,12,20,0.6,12,33,19,9,2,8,12,1,0,0
0,54,22,57,0.386,7,20,0.35,3,8,0.375,9,29,11,1,5,14,22,0,0,1
0,74,25,56,0.446,11,22,0.5,13,21,0.619,10,34,11,3,4,16,22,0,1,0
1,96,34,73,0.466,14,35,0.4,14,20,0.7,12,36,22,14,6,10,21,0,0,1
0,83,28,62,0.452,9,27,0.333,18,19,0.947,7,32,14,4,6,18,16,0,1,0
1,79,25,47,0.532,12,24,0.5,17,21,0.81,6,24,19,4,3,10,17,0,1,0
1,69,27,56,0.482,11,24,0.458,4,7,0.571,5,25,15,5,3,5,11,1,0,0
0,62,22,60,0.367,5,23,0.217,13,15,0.867,13,33,8,5,2,11,19,0,1,0
0,59,21,55,0.382,6,22,0.273,11,11,1,8,28,14,3,2,7,10,1,0,0
1,72,27,55,0.491,7,23,0.304,11,15,0.733,13,33,15,14,2,15,17,0,1,0
1,68,25,50,0.5,7,20,0.35,11,13,0.846,7,26,16,9,1,10,13,0,1,0
1,75,28,53,0.528,12,21,0.571,7,16,0.438,11,37,18,13,3,12,9,1,0,0
1,78,32,62,0.516,11,29,0.379,3,3,1,9,32,23,3,5,12,19,1,0,0
1,83,31,54,0.574,15,30,0.5,6,10,0.6,3,28,25,9,3,9,11,0,1,0
0,57,22,55,0.4,5,14,0.357,8,10,0.8,7,34,8,3,3,12,19,0,1,0
1,61,23,52,0.442,3,17,0.176,12,18,0.667,10,28,9,7,2,4,13,0,0,1
1,86,31,60,0.517,6,17,0.353,18,29,0.621,10,37,16,11,6,9,12,1,0,0
1,67,24,60,0.4,6,20,0.3,13,19,0.684,17,40,15,7,4,9,20,1,0,0
1,76,25,51,0.49,7,17,0.412,19,32,0.594,13,40,11,8,7,13,11,1,0,0
1,67,26,56,0.464,5,19,0.263,10,19,0.526,13,41,10,5,2,14,12,1,0,0
1,72,25,54,0.463,11,26,0.423,11,20,0.55,8,28,18,7,3,8,15,1,0,0
1,68,21,39,0.538,3,9,0.333,23,33,0.697,6,29,10,11,3,14,18,0,1,0
1,62,24,52,0.462,6,20,0.3,8,19,0.421,12,38,14,7,4,9,12,0,1,0
1,68,19,43,0.442,6,20,0.3,24,33,0.727,12,31,15,2,4,10,16,1,0,0
1,84,28,47,0.596,9,15,0.6,19,29,0.655,2,30,20,6,4,10,19,1,0,0
1,67,25,49,0.51,3,12,0.25,14,18,0.778,4,27,11,7,5,9,14,0,0,1
1,62,18,48,0.375,5,15,0.333,21,28,0.75,12,37,10,5,5,7,10,0,0,1
0,63,26,61,0.426,4,19,0.211,7,13,0.538,8,33,7,3,1,17,19,0,1,0
1,72,21,49,0.429,5,19,0.263,25,30,0.833,11,31,14,7,4,17,24,0,1,0
1,72,28,53,0.528,9,22,0.409,7,12,0.583,8,25,19,10,4,7,15,1,0,0
1,75,28,59,0.475,7,18,0.389,12,18,0.667,10,36,14,7,4,8,20,1,0,0
0,61,24,48,0.5,5,16,0.313,8,14,0.571,8,25,10,7,0,17,19,0,1,0
0,61,21,57,0.368,6,19,0.316,13,16,0.813,8,25,7,10,2,8,26,0,1,0
0,61,23,61,0.377,9,27,0.333,6,9,0.667,11,33,14,6,5,7,12,1,0,0
0,62,26,59,0.441,6,26,0.231,4,7,0.571,8,30,14,5,6,9,12,0,1,0
1,50,18,50,0.36,4,17,0.235,10,20,0.5,8,33,9,6,6,12,15,1,0,0
1,104,37,69,0.536,15,29,0.517,15,23,0.652,17,46,20,8,7,13,23,1,0,0
0,55,22,57,0.386,1,12,0.083,10,16,0.625,8,29,7,5,1,10,23,0,1,0
1,77,27,57,0.474,8,23,0.348,15,23,0.652,10,33,15,6,5,15,21,1,0,0
1,57,20,55,0.364,5,25,0.2,12,21,0.571,10,37,10,4,10,6,13,0,1,0
0,69,24,65,0.369,9,32,0.281,12,15,0.8,12,38,19,4,7,13,18,0,1,0
0,74,24,60,0.4,5,19,0.263,21,27,0.778,10,30,12,7,4,7,22,1,0,0
0,91,33,60,0.55,10,23,0.435,15,25,0.6,6,27,20,8,2,16,27,0,1,0
1,68,21,54,0.389,8,20,0.4,18,30,0.6,9,39,14,4,2,12,24,0,0,1
1,81,26,58,0.448,8,24,0.333,21,29,0.724,11,35,8,4,7,12,25,0,0,1
1,70,25,60,0.417,9,25,0.36,11,21,0.524,12,26,10,11,1,10,15,1,0,0
1,80,22,55,0.4,9,23,0.391,27,35,0.771,6,30,13,9,3,13,22,1,0,0
1,71,22,56,0.393,8,27,0.296,19,25,0.76,10,33,15,10,2,14,12,1,0,0
1,114,33,59,0.559,11,19,0.579,37,42,0.881,8,30,18,7,3,13,28,0,1,0
0,62,22,64,0.344,6,23,0.261,12,17,0.706,9,40,7,6,4,8,16,0,0,1
1,65,23,50,0.46,8,21,0.381,11,18,0.611,5,32,10,6,1,9,10,0,0,1
1,84,28,62,0.452,8,22,0.364,20,28,0.714,11,31,10,4,7,13,24,0,0,1
0,70,25,60,0.417,7,26,0.269,13,14,0.929,9,24,11,7,5,14,21,0,0,1
1,81,27,52,0.519,14,25,0.56,13,22,0.591,3,27,12,10,6,12,15,1,0,0
0,60,23,63,0.365,9,26,0.346,5,6,0.833,11,33,8,1,3,7,20,0,1,0
1,65,24,52,0.462,4,13,0.308,13,18,0.722,10,43,9,3,10,9,16,0,1,0
0,68,27,63,0.429,7,19,0.368,7,11,0.636,13,28,14,5,4,2,16,0,1,0
0,57,21,60,0.35,6,24,0.25,9,16,0.563,12,37,12,7,4,11,19,0,1,0
1,73,27,56,0.482,7,24,0.292,12,20,0.6,5,29,9,6,6,6,20,0,1,0
1,77,27,65,0.415,10,32,0.313,13,18,0.722,9,33,19,11,4,9,21,0,0,1
1,74,23,54,0.426,2,11,0.182,26,46,0.565,14,38,10,6,1,20,19,0,1,0
0,75,26,59,0.441,9,20,0.45,14,25,0.56,15,28,15,7,0,14,20,1,0,0
0,63,22,66,0.333,10,29,0.345,9,14,0.643,14,37,15,9,4,7,21,0,1,0
0,51,15,38,0.395,3,10,0.3,18,24,0.75,7,19,10,2,3,25,22,1,0,0
0,47,16,46,0.348,3,15,0.2,12,23,0.522,10,40,7,6,2,20,20,1,0,0
0,56,17,46,0.37,5,12,0.417,17,28,0.607,14,34,9,6,8,29,23,0,1,0
0,70,23,54,0.426,6,16,0.375,18,22,0.818,14,37,11,4,2,17,21,0,1,0
1,47,10,41,0.244,2,13,0.154,25,35,0.714,13,41,6,2,5,20,16,1,0,0
0,51,17,55,0.309,2,13,0.154,15,26,0.577,6,32,8,4,2,11,18,1,0,0
1,79,31,60,0.517,9,23,0.391,8,10,0.8,11,41,14,8,4,19,19,1,0,0
1,68,21,52,0.404,7,17,0.412,19,27,0.704,9,37,13,6,3,15,11,1,0,0
1,62,19,41,0.463,9,21,0.429,15,24,0.625,8,24,13,9,1,14,14,0,1,0
0,53,18,48,0.375,5,19,0.263,12,15,0.8,8,22,11,7,5,18,14,0,1,0
1,92,33,51,0.647,9,22,0.409,17,22,0.773,2,24,18,9,2,15,19,0,1,0
0,63,22,58,0.379,6,21,0.286,13,22,0.591,15,34,13,3,5,12,17,1,0,0
1,89,34,63,0.54,11,23,0.478,10,12,0.833,9,38,24,7,4,12,20,1,0,0
0,74,28,74,0.378,10,30,0.333,8,14,0.571,17,35,13,7,4,7,22,0,1,0
0,71,26,58,0.448,10,30,0.333,9,16,0.563,13,34,14,9,4,20,23,0,1,0
1,71,24,62,0.387,9,19,0.474,14,21,0.667,10,39,10,9,7,12,23,0,0,1
1,63,25,51,0.49,1,11,0.091,12,15,0.8,10,37,12,9,3,18,23,1,0,0
1,86,29,56,0.518,10,18,0.556,18,24,0.75,14,39,17,6,2,15,17,0,1,0
0,72,27,58,0.466,9,24,0.375,9,10,0.9,8,30,14,12,4,22,8,0,1,0
0,78,30,74,0.405,6,29,0.207,12,21,0.571,12,31,19,11,1,13,19,0,1,0
0,70,25,61,0.41,9,25,0.36,11,15,0.733,12,35,11,6,6,16,16,0,1,0
0,75,26,59,0.441,14,33,0.424,9,12,0.75,12,33,21,3,3,15,24,0,1,0
0,78,30,69,0.435,8,32,0.25,10,16,0.625,16,40,17,8,6,20,23,1,0,0
1,89,35,69,0.507,12,23,0.522,7,11,0.636,16,34,12,6,5,12,15,0,1,0
1,81,22,49,0.449,8,19,0.421,29,35,0.829,9,32,12,8,4,15,23,0,1,0
1,73,26,66,0.394,4,13,0.308,17,22,0.773,18,36,10,10,3,10,12,0,0,1
1,88,30,59,0.508,11,20,0.55,17,22,0.773,5,33,11,7,4,7,18,0,0,1
1,81,33,59,0.559,7,18,0.389,8,12,0.667,8,27,21,13,5,13,13,0,0,1
0,50,20,44,0.455,4,11,0.364,6,11,0.545,5,27,11,7,3,20,20,0,0,1
1,75,26,53,0.491,4,19,0.211,19,28,0.679,11,39,6,6,4,11,18,1,0,0
1,68,25,62,0.403,7,22,0.318,11,15,0.733,13,39,15,1,1,12,18,0,1,0
1,63,22,56,0.393,5,19,0.263,14,16,0.875,13,32,9,9,7,13,10,1,0,0
0,55,21,60,0.35,1,17,0.059,12,16,0.75,9,35,9,6,4,15,18,0,1,0
1,83,30,56,0.536,3,10,0.3,20,22,0.909,6,31,9,9,4,9,25,0,1,0
1,71,26,52,0.5,6,15,0.4,13,23,0.565,11,32,13,6,4,14,16,1,0,0
0,60,24,58,0.414,2,16,0.125,10,18,0.556,15,35,10,2,4,12,20,1,0,0
1,63,24,56,0.429,5,18,0.278,10,16,0.625,12,38,18,9,1,12,12,1,0,0
0,67,28,59,0.475,4,8,0.5,7,15,0.467,7,27,16,3,3,9,25,0,1,0
1,54,18,56,0.321,2,18,0.111,16,21,0.762,14,39,4,8,4,10,13,0,1,0
1,86,32,58,0.552,11,24,0.458,11,20,0.55,10,33,16,2,3,6,13,1,0,0
0,67,27,62,0.435,6,21,0.286,7,15,0.467,13,31,13,6,5,12,21,0,1,0
1,104,35,88,0.398,8,32,0.25,26,42,0.619,23,57,21,13,2,19,25,1,0,0
0,65,25,53,0.472,4,17,0.235,11,17,0.647,6,28,11,3,5,21,22,0,1,0
1,84,33,73,0.452,8,14,0.571,10,17,0.588,13,38,19,11,4,9,20,0,1,0
1,71,27,47,0.574,3,8,0.375,14,25,0.56,3,33,12,4,2,17,18,0,1,0
1,68,21,44,0.477,3,9,0.333,23,35,0.657,2,22,10,6,4,8,17,1,0,0
1,74,26,50,0.52,6,11,0.545,16,25,0.64,8,35,10,6,6,11,19,1,0,0
1,89,38,67,0.567,8,17,0.471,5,10,0.5,16,45,15,10,3,10,20,0,1,0
0,72,26,55,0.473,10,19,0.526,10,11,0.909,6,19,17,1,4,12,25,0,1,0
1,69,28,59,0.475,7,22,0.318,6,8,0.75,6,35,23,6,4,10,16,1,0,0
1,120,47,70,0.671,11,21,0.524,15,19,0.789,7,40,29,12,4,10,13,1,0,0
1,85,35,57,0.614,6,17,0.353,9,18,0.5,9,36,23,4,6,15,21,0,1,0
0,80,24,52,0.462,12,24,0.5,20,26,0.769,11,33,12,2,1,16,20,0,1,0
1,78,33,57,0.579,4,13,0.308,8,14,0.571,11,30,13,6,5,11,16,0,1,0
1,74,25,54,0.463,5,12,0.417,19,26,0.731,10,37,13,6,4,9,11,1,0,0
1,80,31,55,0.564,6,18,0.333,12,14,0.857,6,23,16,4,3,7,15,0,1,0
1,97,31,65,0.477,7,24,0.292,28,40,0.7,12,42,13,3,0,8,20,0,1,0
1,80,28,66,0.424,8,33,0.242,16,23,0.696,17,46,11,3,4,7,18,1,0,0
1,75,29,61,0.475,3,7,0.429,14,19,0.737,8,34,15,4,1,11,15,1,0,0
1,85,28,51,0.549,10,19,0.526,19,23,0.826,7,30,14,9,1,22,23,0,1,0
0,64,24,54,0.444,11,25,0.44,5,8,0.625,6,16,18,6,2,16,14,1,0,0
1,88,29,53,0.547,9,20,0.45,21,29,0.724,5,31,17,6,3,16,21,0,1,0
